id,created_at,closed_at,changes_count,min_lon,min_lat,max_lon,max_lat,editor,comment
168770904,2025-07-11T04:58:10Z,2025-07-11T05:23:11Z,1,80.7074318,16.4760778,80.7074318,16.4760778,StreetComplete,
168770896,2025-07-11T04:58:04Z,2025-07-11T05:23:11Z,1,80.7074318,16.4760778,80.7074318,16.4760778,StreetComplete,
168770890,2025-07-11T04:58:01Z,2025-07-11T05:23:11Z,1,80.7074318,16.4760778,80.7074318,16.4760778,StreetComplete,
168770626,2025-07-11T04:55:03Z,2025-07-11T05:23:10Z,1,80.7077915,16.4761367,80.7077915,16.4761367,StreetComplete,
168770594,2025-07-11T04:54:38Z,2025-07-11T05:23:10Z,1,80.7071645,16.4749687,80.7074478,16.4758714,StreetComplete,
168770318,2025-07-11T04:51:30Z,2025-07-11T05:23:10Z,1,80.7071645,16.4749687,80.7074478,16.4758714,StreetComplete,
168770311,2025-07-11T04:51:25Z,2025-07-11T05:23:09Z,1,80.7071645,16.4749687,80.7074478,16.4758714,StreetComplete,
168770230,2025-07-11T04:50:30Z,2025-07-11T05:23:08Z,1,80.7071624,16.4758144,80.7071624,16.4758144,StreetComplete,
168770136,2025-07-11T04:49:25Z,2025-07-11T05:23:08Z,3,80.7075561,16.4760662,80.7077652,16.4767261,StreetComplete,
168770124,2025-07-11T04:49:16Z,2025-07-11T05:23:07Z,1,80.7074318,16.4760778,80.7074318,16.4760778,StreetComplete,
168725292,2025-07-10T06:04:08Z,2025-07-10T06:04:09Z,1,80.7079256,16.4773438,80.7079256,16.4773438,Every,
168725203,2025-07-10T06:01:26Z,2025-07-10T06:01:28Z,1,80.7077353,16.4755987,80.7077353,16.4755987,Every,
168725103,2025-07-10T05:58:11Z,2025-07-10T05:58:13Z,3,80.7071618,16.4758022,80.7071624,16.4758144,Every,
168725060,2025-07-10T05:56:49Z,2025-07-10T05:56:51Z,1,80.7072720,16.4757757,80.7072720,16.4757757,Every,
168725045,2025-07-10T05:56:23Z,2025-07-10T05:56:25Z,2,80.7072720,16.4757757,80.7072720,16.4757757,Every,
168724848,2025-07-10T05:50:58Z,2025-07-10T05:50:59Z,1,80.7076301,16.4756281,80.7076301,16.4756281,Every,
168724823,2025-07-10T05:50:10Z,2025-07-10T05:50:12Z,1,80.7076301,16.4756281,80.7076301,16.4756281,Every,
168724771,2025-07-10T05:48:45Z,2025-07-10T05:48:47Z,2,80.7073694,16.4757962,80.7075927,16.4759199,Every,
168724630,2025-07-10T05:46:07Z,2025-07-10T05:46:09Z,1,80.7075378,16.4759382,80.7075378,16.4759382,Every,
168724613,2025-07-10T05:45:36Z,2025-07-10T05:45:38Z,1,80.7074901,16.4756897,80.7074901,16.4756897,Every,
168724518,2025-07-10T05:42:54Z,2025-07-10T05:42:56Z,3,80.7073297,16.4757208,80.7073379,16.4757225,Every,
168724488,2025-07-10T05:41:47Z,2025-07-10T05:41:49Z,1,80.7073297,16.4757208,80.7073297,16.4757208,Every,
168724462,2025-07-10T05:41:03Z,2025-07-10T05:41:05Z,2,80.7073206,16.4757208,80.7073379,16.4757320,Every,
168724255,2025-07-10T05:35:18Z,2025-07-10T05:35:20Z,1,80.7077652,16.4767261,80.7077652,16.4767261,Every,
168723823,2025-07-10T05:23:23Z,2025-07-10T05:23:25Z,3,80.7071636,16.4762532,80.7071748,16.4762720,Every,
168687782,2025-07-09T10:14:08Z,2025-07-09T10:14:10Z,1,80.6957432,16.5135696,80.6957432,16.5135696,Every,
168678318,2025-07-09T06:20:37Z,2025-07-09T06:20:40Z,5,80.7468910,16.4183931,80.7488918,16.4191278,iD,
164753659,2025-04-10T06:59:13Z,2025-04-10T06:59:14Z,1,80.4167181,16.3396998,80.4167181,16.3396998,Every,
163160544,2025-03-03T13:06:19Z,2025-03-03T13:06:20Z,1,80.5965169,16.5314771,80.5965169,16.5314771,Every,
162932793,2025-02-25T13:38:05Z,2025-02-25T13:38:06Z,1,80.5984071,16.5348460,80.5984071,16.5348460,Every,
162932687,2025-02-25T13:35:27Z,2025-02-25T13:35:28Z,4,80.5980989,16.5345978,80.5983585,16.5347697,Every,
162931627,2025-02-25T13:05:23Z,2025-02-25T13:05:25Z,3,80.5967806,16.5308193,80.5968424,16.5311484,Every,
162820083,2025-02-22T15:11:16Z,2025-02-22T15:11:18Z,1,80.5953251,16.5279517,80.5953251,16.5279517,Every,
162820034,2025-02-22T15:10:16Z,2025-02-22T15:10:17Z,1,80.5953251,16.5279517,80.5953251,16.5279517,Every,
152894663,2024-06-19T12:35:25Z,2024-06-19T12:35:27Z,1,80.6314837,16.5071636,80.6314837,16.5071636,iD,
152662845,2024-06-14T07:20:59Z,2024-06-14T07:21:00Z,115,81.2622770,16.3582111,81.2799367,16.3776571,iD,
152633689,2024-06-13T13:13:30Z,2024-06-13T13:13:31Z,22,81.2747490,16.3663621,81.2762896,16.3675258,iD,
152587316,2024-06-12T13:21:41Z,2024-06-12T13:21:43Z,6,81.2702875,16.3683717,81.2723872,16.3704401,iD,
151250601,2024-05-13T05:58:01Z,2024-05-13T05:58:03Z,1,80.5978758,16.5279865,80.5978758,16.5279865,Every,
150660787,2024-04-29T12:19:14Z,2024-04-29T12:19:16Z,1,80.1375890,15.7869251,80.1375890,15.7869251,Every,
149891607,2024-04-12T05:45:33Z,2024-04-12T05:45:34Z,149,79.3740380,16.6206277,79.4336025,16.6988328,iD,
149891399,2024-04-12T05:36:54Z,2024-04-12T05:36:55Z,84,79.6393481,16.3374794,79.7001387,16.3545835,iD,
149891060,2024-04-12T05:22:47Z,2024-04-12T05:22:48Z,36,81.3531666,16.7559802,81.4117090,16.7892917,iD,
149115910,2024-03-25T07:01:46Z,2024-03-25T07:01:51Z,35,80.5971784,16.5321118,80.6008503,16.5349273,iD,
149115271,2024-03-25T06:34:58Z,2024-03-25T06:35:05Z,16,80.5982215,16.5323781,80.5987943,16.5328688,iD,
149114186,2024-03-25T05:41:58Z,2024-03-25T05:42:00Z,1,80.5985711,16.5325218,80.5985711,16.5325218,Every,
147557109,2024-02-17T05:21:52Z,2024-02-17T05:21:53Z,47,80.6126221,16.4064943,80.6245855,16.4647074,iD,
147407335,2024-02-13T12:38:22Z,2024-02-13T12:38:23Z,29,80.6196684,16.4400468,80.6302350,16.4443789,iD,
147406614,2024-02-13T12:19:26Z,2024-02-13T12:19:27Z,11,80.6198044,16.4434497,80.6231182,16.4437156,iD,
147394423,2024-02-13T06:39:48Z,2024-02-13T06:39:49Z,17,80.2586450,16.4338849,80.2630548,16.4391387,iD,
147393882,2024-02-13T06:20:09Z,2024-02-13T06:20:10Z,1,81.2723815,16.4942379,81.2723815,16.4942379,iD,
147369169,2024-02-12T14:13:06Z,2024-02-12T14:13:07Z,1,80.6225903,16.4413483,80.6231976,16.4421154,iD,
147365998,2024-02-12T12:52:14Z,2024-02-12T13:52:14Z,1,80.6126221,16.4064943,80.6231909,16.4647074,StreetComplete,
147365990,2024-02-12T12:52:01Z,2024-02-12T13:52:01Z,1,80.6126221,16.4064943,80.6231909,16.4647074,StreetComplete,
147365941,2024-02-12T12:50:35Z,2024-02-12T13:50:51Z,2,80.6255380,16.4434977,80.6265538,16.4442529,StreetComplete,
147365920,2024-02-12T12:50:04Z,2024-02-12T13:50:53Z,2,80.6255380,16.4434977,80.6265538,16.4442529,StreetComplete,
147364507,2024-02-12T12:15:19Z,2024-02-12T12:15:22Z,299,80.6194710,16.4400468,80.6290562,16.4450307,iD,
147359602,2024-02-12T10:07:31Z,2024-02-12T10:07:32Z,1,80.5762588,16.4243771,80.5762588,16.4243771,Every,
147356157,2024-02-12T08:35:26Z,2024-02-12T08:35:27Z,21,80.6196684,16.4400468,80.6290562,16.4443789,iD,
147355929,2024-02-12T08:28:45Z,2024-02-12T08:28:47Z,747,80.6187211,16.4385999,80.6313028,16.4481117,iD,
147160793,2024-02-07T05:33:19Z,2024-02-07T05:33:21Z,1,81.7828616,17.6560492,81.7829307,17.6561504,iD,
147159628,2024-02-07T04:13:16Z,2024-02-07T04:13:17Z,279,81.7326164,17.6108161,81.8028635,17.6569321,iD,
147158118,2024-02-07T02:40:40Z,2024-02-07T02:40:41Z,5,81.7727592,17.6512783,81.7728068,17.6513256,iD,
147158061,2024-02-07T02:36:39Z,2024-02-07T02:36:41Z,88,81.7326164,17.6108161,81.8028635,17.6567915,iD,
147076334,2024-02-05T03:18:57Z,2024-02-05T03:18:59Z,5,81.7567793,17.6395515,81.7569274,17.6396915,iD,
147045096,2024-02-04T09:01:15Z,2024-02-04T09:01:16Z,1,80.5373901,16.4309581,80.5373901,16.4309581,OsmAnd~,
147019156,2024-02-03T13:06:34Z,2024-02-03T13:06:35Z,11,81.7705697,17.6505383,81.7719698,17.6519379,iD,
147019063,2024-02-03T13:03:42Z,2024-02-03T13:03:43Z,185,81.7570205,17.6356445,81.7582990,17.6395363,iD,
147017820,2024-02-03T12:23:26Z,2024-02-03T12:23:27Z,1,81.7552328,17.6277683,81.7552328,17.6277683,iD,
147017749,2024-02-03T12:21:09Z,2024-02-03T12:21:10Z,9,81.7564371,17.6355511,81.7586204,17.6398301,iD,
147014322,2024-02-03T10:25:48Z,2024-02-03T10:25:49Z,19,81.7389894,17.6139991,81.7586204,17.6398301,iD,
147013935,2024-02-03T10:12:32Z,2024-02-03T10:12:35Z,65,81.7546617,17.6273278,81.7557827,17.6281969,iD,
146983942,2024-02-02T12:50:25Z,2024-02-02T12:50:26Z,7,81.7326164,17.6108161,81.8028635,17.6567915,iD,
146974082,2024-02-02T07:54:54Z,2024-02-02T07:54:56Z,138,81.7435089,17.6139991,81.7483465,17.6182428,iD,
146959904,2024-02-01T19:47:10Z,2024-02-01T19:47:12Z,9,81.7462595,17.6164210,81.7466136,17.6167559,iD,
146947339,2024-02-01T14:04:18Z,2024-02-01T14:04:19Z,3,81.7435089,17.6140066,81.7482935,17.6182428,iD,
146947303,2024-02-01T14:03:18Z,2024-02-01T14:03:19Z,90,81.7326164,17.6108161,81.8028635,17.6567915,iD,
146945978,2024-02-01T13:26:08Z,2024-02-01T13:26:08Z,51,81.7326164,17.6108161,81.8028635,17.6567915,iD,
146945373,2024-02-01T13:05:59Z,2024-02-01T13:06:00Z,7,81.7447514,17.6153552,81.7454037,17.6155691,iD,
146945033,2024-02-01T12:54:44Z,2024-02-01T12:54:44Z,1,81.7435089,17.6140066,81.7481571,17.6180560,iD,
146944933,2024-02-01T12:52:09Z,2024-02-01T12:52:10Z,8,80.6112389,16.4400062,80.6200698,16.4419505,iD,
146944861,2024-02-01T12:49:58Z,2024-02-01T12:49:59Z,32,80.6147963,16.4402600,80.6225874,16.4466482,iD,
