id,created_at,closed_at,changes_count,min_lon,min_lat,max_lon,max_lat,editor,comment
168862463,2025-07-13T08:04:30Z,2025-07-13T08:04:32Z,1,80.6632566,16.0854136,80.6632566,16.0854136,Every,
168726500,2025-07-10T06:39:27Z,2025-07-10T06:39:29Z,1,80.6748043,16.5040057,80.6748043,16.5040057,Every,
168726437,2025-07-10T06:37:55Z,2025-07-10T06:37:57Z,1,80.6744780,16.5034210,80.6744780,16.5034210,Every,
168725400,2025-07-10T06:07:33Z,2025-07-10T06:07:35Z,1,80.6742868,16.5032537,80.6742868,16.5032537,Every,
168725299,2025-07-10T06:04:20Z,2025-07-10T06:04:21Z,1,80.6743420,16.5034196,80.6743420,16.5034196,Every,
168706866,2025-07-09T17:20:39Z,2025-07-09T17:20:41Z,1,80.6297215,16.3286981,80.6297215,16.3286981,Every,
155007537,2024-08-09T06:55:46Z,2024-08-09T06:55:54Z,1,80.6454387,16.5071093,80.6454387,16.5071093,iD,
153715845,2024-07-08T18:30:01Z,2024-07-08T18:30:02Z,1,80.6238465,16.3289220,80.6238465,16.3289220,Every,
153715752,2024-07-08T18:27:36Z,2024-07-08T18:27:38Z,1,80.6177752,16.4479018,80.6177752,16.4479018,Every,
153715748,2024-07-08T18:27:34Z,2024-07-08T18:27:35Z,1,80.6297737,16.3285993,80.6300054,16.3287488,Every,
153372978,2024-06-30T14:53:23Z,2024-06-30T14:53:24Z,1,80.1629537,15.8080202,80.1630544,15.8081233,iD,
152675865,2024-06-14T12:31:15Z,2024-06-14T12:31:16Z,12,80.9220160,16.0290418,80.9223615,16.0293569,iD,
152675246,2024-06-14T12:18:02Z,2024-06-14T12:18:02Z,27,80.9215568,16.0290095,80.9219478,16.0293924,iD,
152660616,2024-06-14T06:14:58Z,2024-06-14T06:14:59Z,2,80.6238497,16.3285993,80.6300054,16.3289190,iD,
152660506,2024-06-14T06:11:32Z,2024-06-14T06:11:33Z,25,79.0524311,17.3365223,79.0528366,17.3368198,iD,
152630267,2024-06-13T11:53:42Z,2024-06-13T11:53:44Z,3,80.6151707,16.4369519,80.6156323,16.4373197,Every,
152627810,2024-06-13T11:00:20Z,2024-06-13T11:00:21Z,2,80.6203322,16.4413401,80.6219177,16.4433419,Every,
152626932,2024-06-13T10:41:05Z,2024-06-13T10:41:06Z,1,80.6224446,16.4407071,80.6224446,16.4407071,Every,
148265134,2024-03-05T19:32:58Z,2024-03-05T19:33:00Z,1,80.6224446,16.4407071,80.6224446,16.4407071,iD,
148264971,2024-03-05T19:28:15Z,2024-03-05T19:28:18Z,10,80.6216708,16.4401553,80.6234478,16.4409188,iD,
147358119,2024-02-12T09:31:54Z,2024-02-12T09:53:43Z,1,80.6318924,16.4415762,80.6332062,16.4431403,StreetComplete,
147095698,2024-02-05T14:15:11Z,2024-02-05T14:37:06Z,1,80.6213055,16.4426963,80.6218425,16.4427336,StreetComplete,
147095657,2024-02-05T14:14:07Z,2024-02-05T14:37:06Z,1,80.6218744,16.4414776,80.6218985,16.4422503,StreetComplete,
147009339,2024-02-03T06:54:30Z,2024-02-03T07:54:30Z,1,80.6224717,16.4255808,80.6324249,16.4455712,StreetComplete,
146945112,2024-02-01T12:56:52Z,2024-02-01T12:56:54Z,1,81.7448516,17.6154778,81.7448516,17.6154778,iD,
146945057,2024-02-01T12:55:26Z,2024-02-01T12:55:27Z,5,81.7447514,17.6153552,81.7449537,17.6155357,iD,
146931007,2024-02-01T05:31:37Z,2024-02-01T06:32:03Z,4,80.6217443,16.4404570,80.6234259,16.4409493,StreetComplete,
